      0.73       2.42
      4.40       0.43
      1.88      -1.93
     -4.42       4.44
      3.16      -2.58
     -0.24      -1.99
      9.12       0.72
      2.04      -2.89
     -3.80      -0.91
     -1.30      -3.86
     -2.42       2.52
     -2.73       0.62
      1.38       0.60
     -2.52       3.20
     -1.16       4.56
     -1.00       1.13
      2.89      -1.25
     -3.08       0.09
      1.85       1.56
      1.63      -4.17
      1.56       2.60
      0.40      -0.13
     -1.07       0.70
     -5.57      -2.20
      3.20      -2.28
      5.22      -5.77
     -1.31       0.17
      1.00      -4.43
     -2.57      -3.02
      1.68      -4.49
     -5.05      -1.27
     -3.73      -2.78
     -0.72      -1.06
      1.66       1.18
     -1.18      -0.84
     -2.06       2.10
      0.40       0.82
     -3.58      -3.82
      4.39      -2.03
      0.22       2.38
      0.36      -2.26
     -0.17      -3.23
      0.25       0.04
     -0.67       1.72
     -4.15       3.31
      0.67       0.21
     -2.64       0.04
     -1.09      -2.00
      4.16      -1.22
     -1.80      -0.31
