     27.81      10.64
      4.54      21.09
     22.94       3.93
     27.23       7.19
      7.05      13.83
     20.56      23.17
      9.75      19.03
      1.00       9.12
     22.71      12.07
     13.31      23.58
     19.67       6.01
      4.94      12.00
     12.30      17.62
     20.53      19.65
     25.27      10.11
      1.14      16.01
     28.67       5.52
     21.33       7.55
      8.71       7.36
      8.30      28.07
      2.64       2.66
     19.22       1.53
      3.99       7.30
      7.33      16.93
     28.23      15.20
      5.32      18.75
     24.01       8.09
      7.35      11.37
     15.43       5.78
      1.60      24.48
     27.92      25.06
      8.30       3.40
     19.29      27.52
     14.43      19.93
     11.37      28.59
     18.35      25.36
     14.08      27.41
     15.02      12.07
     15.49      14.17
     10.80       5.67
     17.18       9.76
     24.97       2.82
     27.33      13.23
     11.38      22.92
     27.60      20.11
      6.73       1.18
     26.62      28.04
     21.98      27.92
     21.94      16.42
     15.04      24.85
