     25.03      11.55
      3.53      14.66
     21.42       7.59
     27.85       7.35
     16.72      10.94
     16.12      23.42
     17.38      12.85
     12.43      10.74
     24.19      28.77
      8.49      14.83
     25.20      14.51
      3.54      11.30
     15.92      18.61
     15.17      25.73
     27.80      18.01
      1.81      22.53
     25.95       1.28
     15.48       2.39
     12.45      15.70
     10.48      16.70
      4.34       4.27
     13.82       7.01
      7.75       7.53
      1.53      12.95
     22.25      19.32
      3.37       7.71
     24.40       8.55
     11.26       8.35
      9.89       3.16
      8.55      12.32
     15.04      21.00
      1.92       1.00
      7.62      21.59
     12.65      18.37
     10.84      23.05
     18.54      19.89
      4.98      21.53
     27.62       4.73
     23.47      17.11
     17.99       8.94
     20.63      12.51
     17.99       6.87
     23.05      11.05
      4.12      16.85
     22.58      21.70
      7.80       2.04
     17.76      28.93
     13.71      23.56
     20.57      18.08
      6.20      23.46
