     26.78      11.60
      6.81      12.75
     20.34       4.92
     26.74       9.15
     14.96       2.69
     14.81      22.31
     17.55      15.25
     16.59      10.69
     17.87      25.88
     10.08      15.31
     28.18      17.84
      1.93      10.70
     13.61      19.41
     14.06      25.85
     28.07      21.70
      1.68      28.09
     19.69       1.77
     12.70       2.57
     15.87      12.74
     13.44      16.17
      8.94       7.41
      9.93       9.14
     11.56       5.20
      3.89      14.35
     23.31      19.64
      5.12       5.63
     20.48      10.63
     12.81      12.35
      8.38       4.49
      5.73       8.47
     12.91      23.28
      2.13       7.19
      5.20      16.37
     12.43      21.23
      9.59      17.93
     19.34      22.75
      8.63      24.64
     28.93       1.97
     25.10      18.42
     21.96      13.72
     20.94      17.10
     18.83       8.31
     23.77      11.22
      1.75      17.30
     25.42      25.23
      8.95       1.87
     16.49      28.93
      9.54      27.42
     16.83      21.10
      5.17      27.16
